1986.3,1411,1453.2,1631.8,1966.4,1189,1734.4,1605.7,1299.7,1809.1,1282.3,1472.9,1709.6,1400.8,1268.3,1625.6,1672.7,1762.7,1171.5,1430,1672.2,1687.8,1771.8,1801.7,1401.2,1583.6,1516.7,1698.9,1602.1,1924.6,1280.5,1391.3,1936.8,1577.2,1683.4,1710.2,1686,1698.1,1564.4,1303.3,1657.1,1508.3,1674.9,1597.3,1616.3,1655.4,1448.7,1678.8,1790.1,2139.3
1200.8,1200.8,1200.4,1200.6,1200.5,1200.4,1200.6,1200.7,1200.8,1200.6,1200.5,1200.7,1200.8,1200.5,1200.8,1200.3,1200.5,1200.6,1200.7,1200.3,1200.6,1200.5,1200.7,1200.7,1200.6,1200.7,1200.6,1200.5,1200.6,1200.5,1200.8,1200.7,1200.6,1200.8,1200.5,1200.7,1200.3,1200.8,1200.3,1200.6,1200.5,1200.7,1200.8,1201,1200.8,1200.6,1200.4,1200.8,1200.5,1200.6
1300.3,1300.2,1300.2,1300.2,1300.2,1300.3,1300.3,1300.3,1300.1,1300.2,1300.3,1300.3,1300.3,1300.3,1300.2,1300.3,1300.3,1300.2,1300.3,1300.3,1300.2,1300.3,1300.2,1300.2,1300.3,1300.2,1300.3,1300.2,1300.2,1300.3,1300.1,1300.2,1300.2,1300.3,1300.2,1300.2,1300.2,1300.2,1300.3,1300.3,1300.2,1300.2,1300.2,1300.3,1300.2,1300.3,1300.2,1300.2,1300.3,1300.2
1400.2,1400.2,1400.2,1400.2,1400.1,1400.1,1400.2,1400.2,1400.1,1400.2,1400.1,1400.2,1400.2,1400.2,1400.2,1400.2,1400.2,1400.1,1400.1,1400.1,1400.2,1400.1,1400.1,1400.1,1400.2,1400.1,1400.2,1400.2,1400.2,1400.3,1400.3,1400.2,1400.1,1400.2,1400.2,1400.3,1400.2,1400.3,1400.1,1400.1,1400.1,1400.2,1400.2,1400.2,1400.1,1400.1,1400.2,1400.2,1400.2,1400.2
1501.9,1502.3,1502.9,1501.8,1501.3,1502.8,1502.4,1502.8,1502.4,1501.8,1502.8,1502.3,1502.7,1501.9,1502,1502.5,1501.4,1501.4,1502.3,1503.6,1501.8,1500.8,1503,1502.1,1502.4,1501,1503,1502.5,1503.1,1502.7,1502.3,1502.5,1502.9,1502.9,1501.9,1501.8,1502.2,1502.9,1502.8,1502.1,1502.1,1502.4,1502.9,1502,1502.1,1501.9,1502.6,1502.7,1501.9,1502.3
1602.9,1602.4,1602.6,1603,1602.5,1602,1602.4,1602.8,1602.6,1602.1,1603.1,1602.7,1602.6,1602.3,1603,1602.4,1603,1603.3,1602.7,1602.6,1602.2,1602.6,1602.7,1602.6,1602.5,1603.1,1602.9,1602.5,1603,1603,1602.8,1602.8,1603,1602.4,1602.5,1601.7,1603.2,1602.5,1602.4,1602.6,1602.8,1602.8,1602.5,1602.1,1602.3,1602.6,1603.1,1602.8,1603,1603.2
2752,2485.8,2912.9,2540.4,2135.4,2235.4,2595.5,2561.8,2864.4,2316.4,2345.4,2740.5,2556.3,2724.8,2519.2,2542.9,2645.5,2902.9,2716.4,2911.8,2426.8,2338,2816.9,2205.4,2669.5,2643.4,2595.3,2363.1,2337.4,2315.8,2265.7,2672.9,2553.5,2750.7,2534.5,2858.4,2952.8,2284.8,2665.9,2445.7,2604.5,2707.2,2430.6,2516.6,2516.7,2987.7,2532.8,2726,2418.4,2060.1
1879.4,1894.6,1941.7,1892.4,1928.3,1899.1,1926.1,1912,1860.3,1868,1892.8,1882.3,1885.6,1880,1880.2,1849.2,1848.3,1908.8,1910.9,1885.1,1880.2,1908.2,1850.2,1898.7,1865.6,1913.7,1880.1,1866.6,1875.4,1899.9,1895.9,1856.7,1915.2,1900.3,1872.4,1884.6,1943.2,1875.5,1889.2,1877.6,1857.8,1871.3,1878.5,1889.3,1877.6,1852.2,1899.7,1871.3,1849.7,1854.6
1902.7,1902.2,1902.4,1901.9,1901.9,1902.7,1902.3,1902.1,1903,1901.7,1902,1901.9,1902.1,1901.9,1901.7,1901.5,1901.6,1902.5,1902.2,1901.6,1902.1,1901.7,1902,1902.9,1902.3,1901.9,1901.8,1902.1,1902.2,1901.9,1902.1,1901.8,1902.3,1901.4,1901.9,1902.4,1902.1,1901.8,1902.2,1902.5,1902,1902.3,1901.7,1902.6,1902,1901.8,1902,1902.2,1902,1902.3
2042.1,2049.3,2043.5,2053.2,2091.9,2043.9,2083.4,2050.6,2075.5,2094,2057.6,2093.7,2051.9,2046.7,2056,2052.7,2029.9,2031,2065.3,2076,2067.7,2057.2,2022.6,2040.1,2070.6,2068.8,2051.2,2024.9,2065.1,2045.2,2050.8,2073,2045.3,2050.7,2045.1,2038.7,2054.1,2055.3,2057.8,2078.8,2050.5,2036.9,2083.3,2044.5,2072.5,2037.7,2052.5,2070.8,2042.1,2050.8
